caldt,mkt,ewmkt
1926-06-19,0.00860864,0.00481551
1926-06-21,0.00367043,0.0061662
1926-06-22,0.00148676,0.00103604
1926-06-23,-0.0083001,-0.008745
1926-06-24,0.00297873,0.00201095
1926-06-25,-0.00364185,-0.00562058
1926-06-26,0.000541848,0.00185758
1926-06-28,0.0025133,0.00226278
1926-06-29,0.00543129,0.00555177
1926-06-30,0.00243013,0.00245129
1926-07-01,0.00119959,0.00164514
1926-07-02,0.00457965,0.00213089
1926-07-06,0.00176336,0.00134943
1926-07-07,0.000933417,-0.00110739
1926-07-08,0.00229779,0.0040215
1926-07-09,-0.00694288,-0.00433067
1926-07-10,0.00604948,0.00411382
1926-07-12,0.000574171,0.0001899
1926-07-13,0.00486065,0.00435714
1926-07-14,0.00054722,0.000110664
1926-07-15,-0.00427203,-0.0015684
1926-07-16,0.00522685,0.00437798
1926-07-17,0.00362007,0.00360525
1926-07-19,1.79153e-05,-3.04614e-05
1926-07-20,-0.00561615,-0.00625664
1926-07-21,-0.00602233,-0.00474594
1926-07-22,-0.00713508,-0.00824143
1926-07-23,-3.14513e-05,0.000913028
1926-07-24,-0.00118765,0.00229016
1926-07-26,0.00530382,0.0013631
1926-07-27,0.00429486,0.00305487
1926-07-28,0.0108624,0.010771
1926-07-29,0.00366407,-0.00365742
1926-07-30,0.00142404,0.0010909
1926-07-31,0.00465495,0.00403134
1926-08-02,0.00836159,0.00722723
1926-08-03,0.00467279,0.00335572
1926-08-04,-0.00357662,-0.000512919
1926-08-05,-0.000813372,0.00188628
1926-08-06,0.00696031,0.00633531
1926-08-07,0.00466333,0.00513521
1926-08-09,0.00221826,0.00134163
1926-08-10,-0.013932,-0.0101223
1926-08-11,-0.00547801,0.000108498
1926-08-12,0.00854033,0.00293475
1926-08-13,0.00578372,0.000348065
1926-08-14,0.00681595,0.00565718
1926-08-16,0.000950512,0.00455786
1926-08-17,-0.00934657,-0.00686598
1926-08-18,0.00274988,0.002526
1926-08-19,-0.00592647,-0.0046389
1926-08-20,-0.00172789,-0.00174277
1926-08-21,0.0034063,0.00489389
1926-08-23,0.00487147,0.00280318
1926-08-24,-0.00833726,-0.00600587
1926-08-25,-0.00317987,-0.00404643
1926-08-26,0.00551449,0.00581679
1926-08-27,0.00336981,0.00331901
1926-08-28,0.00345983,0.00491278
1926-08-30,0.00309408,0.00348082
1926-08-31,0.00592486,0.00360686
1926-09-01,0.00547573,0.00549545
1926-09-02,-0.000414053,0.00107084
1926-09-03,0.00528317,0.00324712
1926-09-07,0.00582105,0.00530731
1926-09-08,-0.00504964,-0.00512964
1926-09-09,-0.000587745,-0.000921121
1926-09-10,-0.00805361,-0.0045257
1926-09-11,-0.00430018,-0.00243491
1926-09-13,-0.000148511,-0.000474423
1926-09-14,0.0089059,0.00789146
1926-09-15,-0.00186355,-0.000633132
1926-09-16,-0.00174847,-0.00534073
1926-09-17,-0.0100636,-0.0114325
